symptom_name,condition_name,strength
Nausea,Migraine,0.8
Dizziness,Migraine,0.6
Fatigue,Migraine,0.5
Headache,Cluster Headache,0.9
Headache,Concussion,0.9
Dizziness,Concussion,0.8
Confusion,Concussion,0.8
Nausea,Concussion,0.6
Memory Problems,Concussion,0.5
Dizziness,Vertigo,0.9
Nausea,Vertigo,0.6
Headache,Stroke,0.8
Weakness,Stroke,0.9
Confusion,Stroke,0.8
Dizziness,Stroke,0.6
Headache,Meningitis,0.9
Fever,Meningitis,0.9
Nausea,Meningitis,0.7
Confusion,Meningitis,0.6
Confusion,Seizure,0.8
Weakness,Seizure,0.6
Memory Problems,Seizure,0.5
Dizziness,Fainting,0.9
Weakness,Fainting,0.8
Nausea,Fainting,0.4
Weakness,Transient Ischemic Attack,0.9
Confusion,Transient Ischemic Attack,0.8
Dizziness,Transient Ischemic Attack,0.7
Headache,Transient Ischemic Attack,0.6
Headache,Trigeminal Neuralgia,0.9
Numbness,Peripheral Neuropathy,0.9
Tingling,Peripheral Neuropathy,0.9
Weakness,Peripheral Neuropathy,0.5
Fatigue,Sleep Apnea,0.8
Headache,Sleep Apnea,0.4
Chest Pain,Heart Attack,0.9
Shortness of Breath,Heart Attack,0.8
Nausea,Heart Attack,0.6
Dizziness,Heart Attack,0.5
Weakness,Heart Attack,0.6
Fatigue,Heart Attack,0.4
Shortness of Breath,Anaphylaxis,0.9
Rash,Anaphylaxis,0.8
Dizziness,Anaphylaxis,0.7
Nausea,Anaphylaxis,0.6
Vomiting,Anaphylaxis,0.5
Weakness,Anaphylaxis,0.7
Nausea,Diabetic Ketoacidosis,0.8
Vomiting,Diabetic Ketoacidosis,0.8
Weakness,Diabetic Ketoacidosis,0.9
Confusion,Diabetic Ketoacidosis,0.7
Shortness of Breath,Diabetic Ketoacidosis,0.6
Fever,Sepsis,0.9
Chills,Sepsis,0.8
Weakness,Sepsis,0.9
Confusion,Sepsis,0.8
Shortness of Breath,Sepsis,0.7
Dizziness,Sepsis,0.6
Dizziness,Severe Dehydration,0.9
Weakness,Severe Dehydration,0.9
Confusion,Severe Dehydration,0.8
Headache,Severe Dehydration,0.7
Nausea,Severe Dehydration,0.6
Nausea,Acute Kidney Failure,0.8
Vomiting,Acute Kidney Failure,0.7
Weakness,Acute Kidney Failure,0.8
Confusion,Acute Kidney Failure,0.6
Shortness of Breath,Acute Kidney Failure,0.5
Shortness of Breath,Severe Asthma Attack,0.9
Wheezing,Severe Asthma Attack,0.9
Chest Pain,Severe Asthma Attack,0.8
Weakness,Severe Asthma Attack,0.6
Dizziness,Severe Asthma Attack,0.5
Shortness of Breath,Choking,0.9
Chest Pain,Choking,0.6
Weakness,Choking,0.7
Dizziness,Choking,0.6
Weakness,Severe Bleeding,0.9
Dizziness,Severe Bleeding,0.9
Confusion,Severe Bleeding,0.7
Shortness of Breath,Severe Bleeding,0.6
Nausea,Severe Bleeding,0.5
Weakness,Shock,0.9
Dizziness,Shock,0.9
Confusion,Shock,0.8
Shortness of Breath,Shock,0.8
Nausea,Shock,0.6
Nausea,Acute Poisoning,0.9
Vomiting,Acute Poisoning,0.9
Confusion,Acute Poisoning,0.8
Weakness,Acute Poisoning,0.8
Dizziness,Acute Poisoning,0.7
Shortness of Breath,Acute Poisoning,0.6
Headache,Head Trauma,0.9
Confusion,Head Trauma,0.9
Dizziness,Head Trauma,0.8
Nausea,Head Trauma,0.7
Vomiting,Head Trauma,0.6
Memory Problems,Head Trauma,0.7
Weakness,Head Trauma,0.5
Back Pain,Spinal Injury,0.9
Numbness,Spinal Injury,0.9
Tingling,Spinal Injury,0.8
Weakness,Spinal Injury,0.9
Confusion,Overdose,0.9
Weakness,Overdose,0.8
Dizziness,Overdose,0.8
Nausea,Overdose,0.7
Vomiting,Overdose,0.7
Shortness of Breath,Overdose,0.6
Weakness,Severe Burns,0.7
Dizziness,Severe Burns,0.6
Nausea,Severe Burns,0.5
